KOID,Type,conservationScore,Description
K00031,BINDING,-,NADP(+)
K00031,BINDING,.,D-threo-isocitrate
K00031,BINDING,*,D-threo-isocitrate
K00031,BINDING,*,D-threo-isocitrate
K00031,BINDING,-,D-threo-isocitrate
K00031,BINDING,.,D-threo-isocitrate
K00031,BINDING,.,Mg(2+)
K00031,BINDING,..*...--,NADP(+)
K00031,BINDING,.,NADP(+)
K00031,BINDING,-,NADP(+)
K00031,BINDING,-,NADP(+)
K00031,SITE,:,Critical for catalysis
K00031,SITE,*,Critical for catalysis
K00134,ACT_SITE,:,Nucleophile
K00134,BINDING,:*,NAD(+)
K00134,BINDING,:,NAD(+)
K00134,BINDING,:,NAD(+)
K00134,BINDING,:::,D-glyceraldehyde 3-phosphate
K00134,BINDING,*,D-glyceraldehyde 3-phosphate
K00134,BINDING,::,D-glyceraldehyde 3-phosphate
K00134,BINDING,:,D-glyceraldehyde 3-phosphate
K00134,BINDING,:,NAD(+)
K00134,SITE,*,Activates thiol group during catalysis
K00145,ACT_SITE,*,"ECO:0000256|HAMAP-Rule:MF_01110,..."
K00241,BINDING,.,heme
K00382,ACT_SITE,*,Proton acceptor
K00382,BINDING,*,FAD
K00382,BINDING,-,FAD
K00382,BINDING,.*:,FAD
K00382,BINDING,*-*-:*-*,NAD(+)
K00382,BINDING,:,NAD(+)
K00382,BINDING,*,NAD(+)
K00382,BINDING,*,FAD
K00611,BINDING,*:**,carbamoyl phosphate
K00611,BINDING,:,carbamoyl phosphate
K00611,BINDING,*,carbamoyl phosphate
K00611,BINDING,**-*,carbamoyl phosphate
K00611,BINDING,*,L-ornithine
K00611,BINDING,:,L-ornithine
K00611,BINDING,::,L-ornithine
K00611,BINDING,*:,carbamoyl phosphate
K00611,BINDING,*,carbamoyl phosphate
K00821,BINDING,*.,pyridoxal 5'-phosphate
K00821,BINDING,:,pyridoxal 5'-phosphate
K00821,BINDING,*,N(2)-acetyl-L-ornithine
K00821,BINDING,**.*,pyridoxal 5'-phosphate
K00821,BINDING,.,N(2)-acetyl-L-ornithine
K00821,BINDING,:,pyridoxal 5'-phosphate
K00873,BINDING,*,substrate
K00873,BINDING,*-.*,ATP
K00873,BINDING,*,K(+)
K00873,BINDING,.,K(+)
K00873,BINDING,*,K(+)
K00873,BINDING,-,K(+)
K00873,BINDING,*,ATP
K00873,BINDING,*,ATP
K00873,BINDING,*,Mg(2+)
K00873,BINDING,*,substrate
K00873,BINDING,:,Mg(2+)
K00873,BINDING,:,substrate
K00873,BINDING,*,substrate
K00873,SITE,*,Transition state stabilizer
K00895,ACT_SITE,*,Proton acceptor
K00895,BINDING,*,diphosphate
K00895,BINDING,*,Mg(2+)
K00895,BINDING,*:*,substrate
K00895,BINDING,::,substrate
K00895,BINDING,***,substrate
K00895,BINDING,*,substrate
K00895,BINDING,*:.*,substrate
K00895,SITE,*,Important for catalytic activity and substrate...
K00895,SITE,*,Important for catalytic activity; stabilizes the...
K00927,BINDING,*.*,substrate
K00927,BINDING,*,substrate
K00927,BINDING,*.::,substrate
K00927,BINDING,*,substrate
K00927,BINDING,*,substrate
K00927,BINDING,*,ATP
K00927,BINDING,-,ATP
K00927,BINDING,*,ATP
K00927,BINDING,***-,ATP
K00930,BINDING,*:,substrate
K00930,BINDING,*,substrate
K00930,BINDING,*,substrate
K00930,SITE,*,Transition state stabilizer
K00930,SITE,*,Transition state stabilizer
K01438,ACT_SITE,*,ECO:0000255|HAMAP-Rule:MF_01108
K01438,ACT_SITE,-,ECO:0000255|HAMAP-Rule:MF_01108
K01438,BINDING,*,Zn(2+)
K01438,BINDING,*,Zn(2+)
K01438,BINDING,*,Zn(2+)
K01438,BINDING,:,Zn(2+)
K01438,BINDING,*,Zn(2+)
K01438,BINDING,*,Zn(2+)
K01476,BINDING,:,Mn(2+)
K01476,BINDING,*,Mn(2+)
K01476,BINDING,*,Mn(2+)
K01476,BINDING,*,Mn(2+)
K01476,BINDING,*,Mn(2+)
K01476,BINDING,*,Mn(2+)
K01647,ACT_SITE,*,ECO:0000256|PIRSR:PIRSR001369-1
K01647,ACT_SITE,.,ECO:0000256|PIRSR:PIRSR001369-1
K01659,ACT_SITE,*,ECO:0000256|PIRSR:PIRSR001369-1
K01659,ACT_SITE,*,ECO:0000256|PIRSR:PIRSR001369-1
K01689,ACT_SITE,*,Proton donor
K01689,ACT_SITE,*,Proton acceptor
K01689,BINDING,*,substrate
K01689,BINDING,*,(2R)-2-phosphoglycerate
K01689,BINDING,*,substrate
K01689,BINDING,*,Mg(2+)
K01689,BINDING,*,Mg(2+)
K01689,BINDING,*,substrate
K01689,BINDING,*,Mg(2+)
K01689,BINDING,*,substrate
K01689,BINDING,*,(2R)-2-phosphoglycerate
K01689,BINDING,****,substrate
K01689,BINDING,*,(2R)-2-phosphoglycerate
K01689,BINDING,*,(2R)-2-phosphoglycerate
K01689,BINDING,*,(2R)-2-phosphoglycerate
